Numero de qubits: 50 
Dimension max: 64 
p= 6 
After sweep 1 energy=-12.625315674712084  maxlinkdim=26 maxerr=1.00E-15 time=0.126
After sweep 1 energy=-12.625315674807192  maxlinkdim=8 maxerr=9.75E-16 time=0.024
After sweep 1 energy=-12.625315674807212  maxlinkdim=7 maxerr=7.97E-16 time=0.025
After sweep 1 energy=-12.625315674807176  maxlinkdim=7 maxerr=7.92E-16 time=0.037
After sweep 1 energy=-12.62531567480726  maxlinkdim=7 maxerr=7.60E-16 time=0.022
After sweep 1 energy=-12.625315674807254  maxlinkdim=7 maxerr=7.59E-16 time=0.034
After sweep 1 energy=-12.625315674807174  maxlinkdim=7 maxerr=7.59E-16 time=0.022
After sweep 1 energy=-12.625315674807194  maxlinkdim=7 maxerr=7.59E-16 time=0.023
After sweep 1 energy=-12.625315674807174  maxlinkdim=7 maxerr=7.59E-16 time=0.022
After sweep 1 energy=-12.600503069957295  maxlinkdim=64 maxerr=4.97E-16 time=0.136
After sweep 1 energy=-12.625315551782501  maxlinkdim=43 maxerr=1.21E-09 time=0.217
After sweep 1 energy=-12.62531567476542  maxlinkdim=8 maxerr=9.82E-16 time=0.029
After sweep 1 energy=-12.625315674765142  maxlinkdim=6 maxerr=1.00E-15 time=0.022
After sweep 1 energy=-12.62531567476514  maxlinkdim=6 maxerr=8.65E-16 time=0.023
After sweep 1 energy=-12.62531567476513  maxlinkdim=6 maxerr=8.65E-16 time=0.022
After sweep 1 energy=-12.62531567476513  maxlinkdim=6 maxerr=8.65E-16 time=0.022
After sweep 1 energy=-12.62531567476514  maxlinkdim=6 maxerr=8.65E-16 time=0.020
After sweep 1 energy=-12.625315674765144  maxlinkdim=6 maxerr=8.65E-16 time=0.022
After sweep 1 energy=-12.625315674765142  maxlinkdim=6 maxerr=8.65E-16 time=0.022
After sweep 1 energy=-12.625311793017865  maxlinkdim=64 maxerr=1.00E-15 time=0.137
After sweep 1 energy=-12.625315674760442  maxlinkdim=20 maxerr=9.88E-16 time=0.106
After sweep 1 energy=-12.625315674807188  maxlinkdim=7 maxerr=9.84E-16 time=0.024
After sweep 1 energy=-12.625315674807219  maxlinkdim=7 maxerr=7.83E-16 time=0.024
